x, y, z, k, eps, mut
1.82927, 0.46774, 0.0, 0.00489, 0.00071, 0.00302
1.82927, 0.50000, 0.0, 0.00489, 0.00071, 0.00302
1.82927, 0.53226, 0.0, 0.00489, 0.00071, 0.00302
1.82927, 0.56452, 0.0, 0.00489, 0.00071, 0.00302
1.82927, 0.59677, 0.0, 0.00489, 0.00071, 0.00302
1.82927, 0.62903, 0.0, 0.00488, 0.00071, 0.00301
1.82927, 0.66129, 0.0, 0.00488, 0.00071, 0.00300
1.82927, 0.69355, 0.0, 0.00487, 0.00072, 0.00298
1.82927, 0.72581, 0.0, 0.00485, 0.00072, 0.00294
1.82927, 0.75806, 0.0, 0.00482, 0.00073, 0.00286
1.82927, 0.79032, 0.0, 0.00476, 0.00075, 0.00271
1.82927, 0.82258, 0.0, 0.00468, 0.00080, 0.00247
1.82927, 0.85484, 0.0, 0.00456, 0.00090, 0.00207
1.82927, 0.88710, 0.0, 0.00439, 0.00114, 0.00152
1.82927, 0.91935, 0.0, 0.00425, 0.00187, 0.00087
1.82927, 0.95161, 0.0, 0.00485, 0.00506, 0.00042
1.82927, 0.98387, 0.0, 0.01042, 0.02644, 0.00037
1.82927, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
2.07317, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
2.07317, 0.01613, 0.0, 0.01020, 0.02558, 0.00037
2.07317, 0.04839, 0.0, 0.00481, 0.00510, 0.00041
2.07317, 0.08065, 0.0, 0.00408, 0.00185, 0.00081
2.07317, 0.11290, 0.0, 0.00418, 0.00111, 0.00142
2.07317, 0.14516, 0.0, 0.00435, 0.00086, 0.00197
2.07317, 0.17742, 0.0, 0.00448, 0.00076, 0.00238
2.07317, 0.20968, 0.0, 0.00458, 0.00071, 0.00264
2.07317, 0.24194, 0.0, 0.00464, 0.00069, 0.00281
2.07317, 0.27419, 0.0, 0.00468, 0.00068, 0.00290
2.07317, 0.30645, 0.0, 0.00470, 0.00067, 0.00295
2.07317, 0.33871, 0.0, 0.00471, 0.00067, 0.00298
2.07317, 0.37097, 0.0, 0.00472, 0.00067, 0.00300
2.07317, 0.40323, 0.0, 0.00472, 0.00067, 0.00300
2.07317, 0.43548, 0.0, 0.00473, 0.00067, 0.00301
2.07317, 0.46774, 0.0, 0.00473, 0.00067, 0.00301
2.07317, 0.50000, 0.0, 0.00473, 0.00067, 0.00301
2.07317, 0.53226, 0.0, 0.00473, 0.00067, 0.00301
2.07317, 0.56452, 0.0, 0.00473, 0.00067, 0.00301
2.07317, 0.59677, 0.0, 0.00472, 0.00067, 0.00300
2.07317, 0.62903, 0.0, 0.00472, 0.00067, 0.00300
2.07317, 0.66129, 0.0, 0.00471, 0.00067, 0.00298
2.07317, 0.69355, 0.0, 0.00470, 0.00067, 0.00295
2.07317, 0.72581, 0.0, 0.00468, 0.00068, 0.00290
2.07317, 0.75806, 0.0, 0.00464, 0.00069, 0.00281
2.07317, 0.79032, 0.0, 0.00458, 0.00071, 0.00264
2.07317, 0.82258, 0.0, 0.00448, 0.00076, 0.00238
2.07317, 0.85484, 0.0, 0.00435, 0.00086, 0.00197
2.07317, 0.88710, 0.0, 0.00418, 0.00111, 0.00142
2.07317, 0.91935, 0.0, 0.00408, 0.00185, 0.00081
2.07317, 0.95161, 0.0, 0.00481, 0.00510, 0.00041
2.07317, 0.98387, 0.0, 0.01020, 0.02558, 0.00037
2.07317, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
2.31707, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
2.31707, 0.01613, 0.0, 0.00995, 0.02465, 0.00036
2.31707, 0.04839, 0.0, 0.00482, 0.00516, 0.00041
2.31707, 0.08065, 0.0, 0.00394, 0.00184, 0.00076
2.31707, 0.11290, 0.0, 0.00399, 0.00108, 0.00133
2.31707, 0.14516, 0.0, 0.00416, 0.00083, 0.00188
2.31707, 0.17742, 0.0, 0.00430, 0.00072, 0.00229
2.31707, 0.20968, 0.0, 0.00440, 0.00068, 0.00257
2.31707, 0.24194, 0.0, 0.00447, 0.00065, 0.00275
2.31707, 0.27419, 0.0, 0.00451, 0.00064, 0.00286
2.31707, 0.30645, 0.0, 0.00454, 0.00063, 0.00293
2.31707, 0.33871, 0.0, 0.00456, 0.00063, 0.00296
2.31707, 0.37097, 0.0, 0.00457, 0.00063, 0.00298
2.31707, 0.40323, 0.0, 0.00457, 0.00063, 0.00299
2.31707, 0.43548, 0.0, 0.00458, 0.00063, 0.00300
2.31707, 0.46774, 0.0, 0.00458, 0.00063, 0.00300
2.31707, 0.50000, 0.0, 0.00458, 0.00063, 0.00300
2.31707, 0.53226, 0.0, 0.00458, 0.00063, 0.00300
2.31707, 0.56452, 0.0, 0.00458, 0.00063, 0.00300
2.31707, 0.59677, 0.0, 0.00457, 0.00063, 0.00299
2.31707, 0.62903, 0.0, 0.00457, 0.00063, 0.00298
2.31707, 0.66129, 0.0, 0.00456, 0.00063, 0.00296
2.31707, 0.69355, 0.0, 0.00454, 0.00063, 0.00293
2.31707, 0.72581, 0.0, 0.00451, 0.00064, 0.00286
2.31707, 0.75806, 0.0, 0.00447, 0.00065, 0.00275
2.31707, 0.79032, 0.0, 0.00440, 0.00068, 0.00257
2.31707, 0.82258, 0.0, 0.00430, 0.00072, 0.00229
2.31707, 0.85484, 0.0, 0.00416, 0.00083, 0.00188
2.31707, 0.88710, 0.0, 0.00399, 0.00108, 0.00133
2.31707, 0.91935, 0.0, 0.00394, 0.00184, 0.00076
2.31707, 0.95161, 0.0, 0.00482, 0.00516, 0.00041
2.31707, 0.98387, 0.0, 0.00995, 0.02465, 0.00036
2.31707, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
2.56098, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
2.56098, 0.01613, 0.0, 0.00969, 0.02370, 0.00036
2.56098, 0.04839, 0.0, 0.00488, 0.00526, 0.00041
2.56098, 0.08065, 0.0, 0.00384, 0.00185, 0.00072
2.56098, 0.11290, 0.0, 0.00383, 0.00105, 0.00126
2.56098, 0.14516, 0.0, 0.00398, 0.00080, 0.00179
2.56098, 0.17742, 0.0, 0.00412, 0.00069, 0.00221
2.56098, 0.20968, 0.0, 0.00423, 0.00064, 0.00251
2.56098, 0.24194, 0.0, 0.00431, 0.00062, 0.00270
2.56098, 0.27419, 0.0, 0.00436, 0.00060, 0.00283
2.56098, 0.30645, 0.0, 0.00439, 0.00060, 0.00290
2.56098, 0.33871, 0.0, 0.00441, 0.00060, 0.00294
2.56098, 0.37097, 0.0, 0.00442, 0.00059, 0.00296
2.56098, 0.40323, 0.0, 0.00443, 0.00059, 0.00298
2.56098, 0.43548, 0.0, 0.00443, 0.00059, 0.00298
2.56098, 0.46774, 0.0, 0.00443, 0.00059, 0.00299
2.56098, 0.50000, 0.0, 0.00444, 0.00059, 0.00299
2.56098, 0.53226, 0.0, 0.00443, 0.00059, 0.00299
2.56098, 0.56452, 0.0, 0.00443, 0.00059, 0.00298
2.56098, 0.59677, 0.0, 0.00443, 0.00059, 0.00298
2.56098, 0.62903, 0.0, 0.00442, 0.00059, 0.00296
2.56098, 0.66129, 0.0, 0.00441, 0.00060, 0.00294
2.56098, 0.69355, 0.0, 0.00439, 0.00060, 0.00290
2.56098, 0.72581, 0.0, 0.00436, 0.00060, 0.00283
2.56098, 0.75806, 0.0, 0.00431, 0.00062, 0.00270
2.56098, 0.79032, 0.0, 0.00423, 0.00064, 0.00251
2.56098, 0.82258, 0.0, 0.00412, 0.00069, 0.00221
2.56098, 0.85484, 0.0, 0.00398, 0.00080, 0.00179
2.56098, 0.88710, 0.0, 0.00383, 0.00105, 0.00126
2.56098, 0.91935, 0.0, 0.00384, 0.00185, 0.00072
2.56098, 0.95161, 0.0, 0.00488, 0.00526, 0.00041
2.56098, 0.98387, 0.0, 0.00969, 0.02370, 0.00036
2.56098, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
2.80488, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
2.80488, 0.01613, 0.0, 0.00944, 0.02279, 0.00035
